transaction_id,date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount
TXN_000001,2024-05-04,CUST_01502,PROD_0007,Découvrir Obéir,Alimentation,1,59.25,59.25
TXN_000002,2024-10-06,CUST_00591,PROD_0075,Trou Commencement,Maison,2,422.46,844.92
TXN_000003,2024-04-16,CUST_02766,PROD_0084,Proposer Cinquante,Électronique,1,275.67,275.67
TXN_000004,2024-01-21,CUST_04407,PROD_0153,Salle Sembler,Maison,1,477.02,477.02
TXN_000005,2024-05-22,CUST_00887,PROD_0192,École Suffire,Beauté,5,484.85,2424.25
TXN_000006,2023-03-21,CUST_02361,PROD_0172,Rien Précéder,Mode,1,444.62,444.62
TXN_000007,2024-09-09,CUST_02762,PROD_0192,École Suffire,Beauté,2,484.85,969.7
TXN_000008,2024-03-29,CUST_01391,PROD_0067,Chat Poésie,Beauté,7,358.29,2508.03
TXN_000009,2024-07-13,CUST_01040,PROD_0061,Même Envelopper,Beauté,1,433.23,433.23
TXN_000010,2023-04-13,CUST_00339,PROD_0193,Pensée Avant,Électronique,2,17.83,35.66
TXN_000011,2023-05-03,CUST_02995,PROD_0112,Toujours Effort,Beauté,1,77.98,77.98
TXN_000012,2023-06-21,CUST_00018,PROD_0158,Interroger Votre,Alimentation,1,406.46,406.46
TXN_000013,2023-07-18,CUST_03536,PROD_0110,Joie Roi,Sport,1,297.52,297.52
TXN_000014,2023-01-22,CUST_01446,PROD_0166,Relever Fait,Beauté,1,360.66,360.66
TXN_000015,2023-06-11,CUST_00382,PROD_0137,Profond Offrir,Maison,1,382.15,382.15
TXN_000016,2024-02-11,CUST_00117,PROD_0055,Haine Dans,Beauté,3,474.78,1424.34
TXN_000017,2023-09-07,CUST_04954,PROD_0008,Ville Nord,Sport,1,365.41,365.41
TXN_000018,2024-12-16,CUST_00214,PROD_0020,Justice Queue,Électronique,1,351.73,351.73
TXN_000019,2023-11-08,CUST_01830,PROD_0084,Proposer Cinquante,Électronique,3,275.67,827.01
TXN_000020,2023-03-31,CUST_00309,PROD_0023,Simplement Colline,Beauté,2,461.19,922.38
TXN_000021,2024-01-02,CUST_01774,PROD_0020,Justice Queue,Électronique,1,351.73,351.73
TXN_000022,2023-10-04,CUST_02658,PROD_0167,Détail Prononcer,Sport,1,250.84,250.84
TXN_000023,2023-01-28,CUST_03447,PROD_0163,Animer Déchirer,Alimentation,3,379.42,1138.26
TXN_000024,2024-03-31,CUST_01813,PROD_0012,Puissance Calmer,Mode,1,219.94,219.94
TXN_000025,2023-10-06,CUST_04161,PROD_0060,Si Retenir,Alimentation,3,344.03,1032.09
TXN_000026,2024-12-05,CUST_04303,PROD_0176,Lieu Respecter,Électronique,1,412.22,412.22
TXN_000027,2024-02-09,CUST_00858,PROD_0047,Occuper Couvrir,Beauté,1,302.1,302.1
TXN_000028,2023-09-28,CUST_04920,PROD_0127,Désir Chant,Beauté,1,15.56,15.56
TXN_000029,2023-02-07,CUST_01457,PROD_0065,Résistance Car,Maison,2,496.2,992.4
TXN_000030,2023-01-13,CUST_01204,PROD_0196,Colon Moitié,Électronique,3,24.41,73.23
TXN_000031,2024-08-03,CUST_03519,PROD_0065,Résistance Car,Maison,2,496.2,992.4
TXN_000032,2023-06-03,CUST_03968,PROD_0017,Aventure Faire,Maison,3,10.05,30.15
TXN_000033,2023-03-27,CUST_04266,PROD_0043,Veille Menacer,Mode,4,11.42,45.68
TXN_000034,2024-08-04,CUST_04717,PROD_0005,Besoin Mourir,Mode,3,406.54,1219.62
TXN_000035,2024-05-30,CUST_00366,PROD_0174,Renoncer Naturel,Alimentation,1,499.41,499.41
TXN_000036,2023-09-10,CUST_04911,PROD_0109,Tenir Défaut,Mode,1,250.21,250.21
TXN_000037,2023-06-20,CUST_01104,PROD_0055,Haine Dans,Beauté,3,474.78,1424.34
TXN_000038,2023-05-08,CUST_01292,PROD_0187,Ainsi Capable,Alimentation,1,330.23,330.23
TXN_000039,2023-06-12,CUST_02713,PROD_0095,Mourir Hiver,Maison,1,357.12,357.12
TXN_000040,2023-10-02,CUST_03687,PROD_0080,Établir Beaucoup,Maison,1,93.47,93.47
TXN_000041,2023-09-25,CUST_01964,PROD_0193,Pensée Avant,Électronique,1,17.83,17.83
TXN_000042,2023-07-16,CUST_02269,PROD_0135,Près Étoile,Sport,1,161.88,161.88
TXN_000043,2023-12-02,CUST_04577,PROD_0011,Passé Chant,Mode,1,148.58,148.58
TXN_000044,2023-04-15,CUST_03410,PROD_0131,Étonner Relation,Alimentation,1,25.64,25.64
TXN_000045,2024-08-13,CUST_01728,PROD_0184,Faux Effacer,Électronique,3,313.32,939.96
TXN_000046,2023-06-04,CUST_03928,PROD_0179,Tantôt Tromper,Alimentation,1,56.13,56.13
TXN_000047,2023-03-10,CUST_01735,PROD_0144,Jour Importer,Sport,6,36.56,219.36
TXN_000048,2024-01-06,CUST_00287,PROD_0168,Rappeler Moitié,Alimentation,17,325.14,5527.38
TXN_000049,2024-02-09,CUST_00728,PROD_0033,Désespoir Reste,Alimentation,1,156.26,156.26
TXN_000050,2024-06-15,CUST_00173,PROD_0020,Justice Queue,Électronique,3,351.73,1055.19
TXN_000051,2024-04-22,CUST_00231,PROD_0020,Justice Queue,Électronique,1,351.73,351.73
TXN_000052,2023-12-16,CUST_02319,PROD_0057,Obliger Marcher,Mode,1,464.02,464.02
TXN_000053,2024-12-31,CUST_03346,PROD_0144,Jour Importer,Sport,4,36.56,146.24
TXN_000054,2024-07-28,CUST_03471,PROD_0005,Besoin Mourir,Mode,1,406.54,406.54
TXN_000055,2023-05-03,CUST_00607,PROD_0103,Sourire Lit,Beauté,3,332.31,996.93
TXN_000056,2024-01-23,CUST_03087,PROD_0159,Dur Pluie,Maison,1,8.88,8.88
TXN_000057,2024-08-05,CUST_04656,PROD_0049,Direction Discours,Électronique,2,100.51,201.02
TXN_000058,2023-06-11,CUST_02344,PROD_0055,Haine Dans,Beauté,6,474.78,2848.68
TXN_000059,2023-08-11,CUST_02803,PROD_0150,Apparaître Relation,Maison,1,377.53,377.53
TXN_000060,2023-11-15,CUST_03640,PROD_0149,Oeuvre Votre,Alimentation,1,115.16,115.16
TXN_000061,2024-02-02,CUST_02794,PROD_0057,Obliger Marcher,Mode,1,464.02,464.02
TXN_000062,2024-06-29,CUST_03643,PROD_0138,Asseoir Expression,Électronique,1,346.85,346.85
TXN_000063,2023-06-25,CUST_04405,PROD_0032,Près Soin,Mode,2,466.92,933.84
TXN_000064,2024-02-21,CUST_02535,PROD_0155,Résister Parfois,Alimentation,2,145.62,291.24
TXN_000065,2024-08-29,CUST_02052,PROD_0173,Maintenant Avancer,Maison,3,18.7,56.1
TXN_000066,2024-02-11,CUST_02717,PROD_0188,Oeil Cheval,Maison,1,280.51,280.51
TXN_000067,2024-12-24,CUST_01088,PROD_0090,Raconter Cuisine,Sport,3,226.05,678.15
TXN_000068,2024-10-23,CUST_03726,PROD_0039,Étrange Briser,Maison,2,195.37,390.74
TXN_000069,2023-08-20,CUST_01734,PROD_0023,Simplement Colline,Beauté,1,461.19,461.19
TXN_000070,2024-01-10,CUST_00087,PROD_0187,Ainsi Capable,Alimentation,1,330.23,330.23
TXN_000071,2023-04-21,CUST_01806,PROD_0032,Près Soin,Mode,1,466.92,466.92
TXN_000072,2023-03-13,CUST_00877,PROD_0075,Trou Commencement,Maison,1,422.46,422.46
TXN_000073,2023-02-09,CUST_02607,PROD_0200,Année Spectacle,Maison,1,61.1,61.1
TXN_000074,2023-01-30,CUST_00154,PROD_0015,Exister Million,Électronique,1,195.84,195.84
TXN_000075,2023-12-27,CUST_01056,PROD_0064,Poche Davantage,Électronique,1,248.09,248.09
TXN_000076,2024-12-24,CUST_01035,PROD_0067,Chat Poésie,Beauté,2,358.29,716.58
TXN_000077,2023-04-21,CUST_01914,PROD_0066,Avant Fou,Mode,5,473.12,2365.6
TXN_000078,2023-02-24,CUST_03398,PROD_0155,Résister Parfois,Alimentation,1,145.62,145.62
TXN_000079,2023-01-16,CUST_00964,PROD_0045,Apporter Espoir,Beauté,1,356.22,356.22
TXN_000080,2024-08-06,CUST_02128,PROD_0165,Construire Blanc,Beauté,1,483.34,483.34
TXN_000081,2024-04-27,CUST_01831,PROD_0130,Admettre Un,Beauté,1,423.73,423.73
TXN_000082,2023-03-29,CUST_04802,PROD_0172,Rien Précéder,Mode,1,444.62,444.62
TXN_000083,2023-02-06,CUST_02587,PROD_0112,Toujours Effort,Beauté,1,77.98,77.98
TXN_000084,2023-11-14,CUST_02441,PROD_0148,Presser Face,Sport,1,369.68,369.68
TXN_000085,2024-01-13,CUST_02971,PROD_0148,Presser Face,Sport,1,369.68,369.68
TXN_000086,2023-06-27,CUST_01664,PROD_0144,Jour Importer,Sport,2,36.56,73.12
TXN_000087,2024-06-04,CUST_02360,PROD_0021,Groupe Souhaiter,Mode,5,287.68,1438.4
TXN_000088,2024-05-08,CUST_03040,PROD_0031,Reposer Rouge,Alimentation,1,375.6,375.6
TXN_000089,2024-07-26,CUST_01835,PROD_0157,Combien Paix,Maison,1,372.09,372.09
TXN_000090,2024-04-19,CUST_00223,PROD_0081,Plonger Comme,Maison,2,354.16,708.32
TXN_000091,2023-06-21,CUST_03646,PROD_0048,Colon Apprendre,Alimentation,1,334.28,334.28
TXN_000092,2023-06-21,CUST_02776,PROD_0153,Salle Sembler,Maison,1,477.02,477.02
TXN_000093,2023-08-09,CUST_01063,PROD_0179,Tantôt Tromper,Alimentation,3,56.13,168.39
TXN_000094,2024-01-06,CUST_02326,PROD_0191,Imposer Étranger,Électronique,3,203.96,611.88
TXN_000095,2024-07-19,CUST_03918,PROD_0191,Imposer Étranger,Électronique,1,203.96,203.96
TXN_000096,2023-06-27,CUST_02024,PROD_0184,Faux Effacer,Électronique,1,313.32,313.32
TXN_000097,2023-06-05,CUST_00702,PROD_0036,Mêler Appel,Sport,1,451.08,451.08
TXN_000098,2024-09-27,CUST_02958,PROD_0128,Il Douze,Électronique,1,88.0,88.0
TXN_000099,2024-11-06,CUST_00553,PROD_0142,Prendre De,Maison,1,495.71,495.71
TXN_000100,2023-06-27,CUST_00530,PROD_0156,Prévoir Retourner,Sport,1,230.52,230.52
TXN_000101,2023-06-14,CUST_03490,PROD_0063,Agiter Pierre,Sport,5,371.9,1859.5
TXN_000102,2024-04-26,CUST_03712,PROD_0023,Simplement Colline,Beauté,1,461.19,461.19
TXN_000103,2023-06-14,CUST_03441,PROD_0093,Rejoindre Accompagner,Sport,1,410.85,410.85
TXN_000104,2024-02-26,CUST_03187,PROD_0171,Ah Tourner,Beauté,1,447.12,447.12
TXN_000105,2024-06-27,CUST_03071,PROD_0056,Drôle Vivre,Alimentation,1,178.24,178.24
TXN_000106,2023-02-18,CUST_00581,PROD_0006,Calme Bord,Maison,2,284.8,569.6
TXN_000107,2023-02-16,CUST_03908,PROD_0012,Puissance Calmer,Mode,5,219.94,1099.7
TXN_000108,2023-10-29,CUST_01227,PROD_0079,Odeur Transformer,Beauté,1,309.88,309.88
TXN_000109,2023-04-13,CUST_04765,PROD_0127,Désir Chant,Beauté,2,15.56,31.12
TXN_000110,2023-01-19,CUST_00062,PROD_0179,Tantôt Tromper,Alimentation,1,56.13,56.13
TXN_000111,2024-05-29,CUST_04939,PROD_0009,Tandis que Sentiment,Électronique,1,13.71,13.71
TXN_000112,2023-12-19,CUST_02494,PROD_0163,Animer Déchirer,Alimentation,1,379.42,379.42
TXN_000113,2024-04-08,CUST_02374,PROD_0144,Jour Importer,Sport,1,36.56,36.56
TXN_000114,2023-06-22,CUST_04419,PROD_0134,Champ Haut,Maison,2,464.74,929.48
TXN_000115,2024-04-29,CUST_03956,PROD_0165,Construire Blanc,Beauté,1,483.34,483.34
TXN_000116,2024-01-02,CUST_00566,PROD_0083,Sueur Leur,Sport,1,149.79,149.79
TXN_000117,2023-05-16,CUST_01294,PROD_0087,Saluer Emporter,Alimentation,1,129.76,129.76
TXN_000118,2023-05-14,CUST_03520,PROD_0042,Premier Indiquer,Mode,1,268.29,268.29
TXN_000119,2023-04-04,CUST_02054,PROD_0087,Saluer Emporter,Alimentation,1,129.76,129.76
TXN_000120,2023-02-26,CUST_00310,PROD_0084,Proposer Cinquante,Électronique,1,275.67,275.67
TXN_000121,2024-06-01,CUST_01463,PROD_0062,Accent Saint,Beauté,1,407.03,407.03
TXN_000122,2024-11-18,CUST_01791,PROD_0115,Sourire Aucun,Électronique,2,479.83,959.66
TXN_000123,2023-10-19,CUST_02784,PROD_0163,Animer Déchirer,Alimentation,2,379.42,758.84
TXN_000124,2023-07-17,CUST_03942,PROD_0124,Nation Cour,Alimentation,1,170.01,170.01
TXN_000125,2023-01-08,CUST_01499,PROD_0044,Absolu Affaire,Maison,1,400.42,400.42
TXN_000126,2024-07-22,CUST_01673,PROD_0110,Joie Roi,Sport,1,297.52,297.52
TXN_000127,2023-01-09,CUST_04437,PROD_0038,Proposer Porte,Alimentation,1,353.65,353.65
TXN_000128,2023-05-08,CUST_00994,PROD_0089,Baisser Grâce,Beauté,1,486.01,486.01
TXN_000129,2024-11-03,CUST_01173,PROD_0199,Frais Compter,Sport,1,271.82,271.82
TXN_000130,2024-03-25,CUST_03143,PROD_0017,Aventure Faire,Maison,1,10.05,10.05
TXN_000131,2024-12-22,CUST_01326,PROD_0080,Établir Beaucoup,Maison,1,93.47,93.47
