customer_id,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,RFM_total,segment
12346,2011-01-18 10:01:00,1,77183.6,325,1,1,5,115,7,Endormis
12347,2011-12-07 15:52:00,7,4078.95,1,5,5,5,555,15,Champions
12348,2011-09-25 13:13:00,4,1437.24,74,2,4,4,244,10,Fidèles
12349,2011-11-21 09:51:00,1,1287.15,18,4,1,4,414,9,Nouveaux prometteurs
12350,2011-02-02 16:01:00,1,294.40000000000003,309,1,1,2,112,4,Endormis
12352,2011-11-03 14:37:00,7,1147.44,35,3,5,4,354,12,Fidèles
12353,2011-05-19 17:47:00,1,29.300000000000004,203,1,1,1,111,3,Endormis
12354,2011-04-21 13:11:00,1,925.95,231,1,1,4,114,6,Endormis
12355,2011-05-09 13:49:00,1,414.0,213,1,1,2,112,4,Endormis
12356,2011-04-08 12:33:00,2,1911.4,245,1,2,5,125,8,Endormis
12357,2011-11-06 16:07:00,1,5291.27,32,4,1,5,415,10,Nouveaux prometteurs
12358,2011-12-08 10:26:00,2,908.1600000000001,1,5,2,4,524,11,Nouveaux prometteurs
12359,2011-10-13 12:47:00,4,3642.33,57,3,4,5,345,12,Fidèles
12360,2011-10-18 15:22:00,3,1914.26,51,3,3,5,335,11,Moyens
12361,2011-02-25 13:51:00,1,174.9,286,1,1,1,111,3,Endormis
12362,2011-12-06 15:40:00,10,4377.28,2,5,5,5,555,15,Champions
12363,2011-08-22 10:18:00,2,552.0,109,2,2,3,223,7,Endormis
12364,2011-12-02 10:22:00,4,1186.2,7,5,4,4,544,13,Champions
12365,2011-02-21 13:51:00,1,307.94,290,1,1,2,112,4,Endormis
12367,2011-12-05 16:48:00,1,150.9,3,5,1,1,511,7,Nouveaux prometteurs
12370,2011-10-19 14:51:00,4,3228.39,50,3,4,5,345,12,Fidèles
12371,2011-10-11 10:43:00,1,1441.16,59,3,1,4,314,8,Occasionnels
12372,2011-09-29 12:12:00,3,1196.04,71,2,3,4,234,9,À risque
12373,2011-02-01 13:10:00,1,324.6,310,1,1,2,112,4,Endormis
12374,2011-11-14 15:37:00,1,563.53,24,4,1,3,413,8,Nouveaux prometteurs
12375,2011-11-29 10:36:00,2,377.5,10,5,2,2,522,9,Nouveaux prometteurs
12377,2011-01-28 15:45:00,2,1488.42,314,1,2,4,124,7,Endormis
12378,2011-08-02 10:34:00,1,3777.2200000000003,129,2,1,5,215,8,Endormis
12379,2011-09-19 10:09:00,2,777.24,81,2,2,3,223,7,Endormis
12380,2011-11-18 11:27:00,4,2244.11,21,4,4,5,445,13,Champions
12381,2011-12-05 12:44:00,5,1276.86,4,5,4,4,544,13,Champions
12383,2011-06-08 08:02:00,5,1382.96,184,1,4,4,144,9,Fidèles
12384,2011-11-11 08:39:00,2,351.72,28,4,2,2,422,8,Nouveaux prometteurs
12386,2011-01-06 12:37:00,2,401.9,337,1,2,2,122,5,Endormis
12388,2011-11-24 12:30:00,6,2713.76,15,4,5,5,455,14,Champions
12390,2011-09-21 09:33:00,1,431.14,79,2,1,3,213,6,Endormis
12391,2011-11-18 12:07:00,1,433.99,21,4,1,3,413,8,Nouveaux prometteurs
12393,2011-09-28 15:41:00,4,1582.6000000000001,71,2,4,4,244,10,Fidèles
12394,2011-10-07 08:08:00,2,1060.58,63,3,2,4,324,9,Occasionnels
12395,2011-11-20 15:21:00,12,2394.53,18,4,5,5,455,14,Champions
12397,2011-11-04 09:52:00,2,1773.95,35,3,2,4,324,9,Occasionnels
12398,2011-10-25 10:27:00,1,1435.66,45,3,1,4,314,8,Occasionnels
12399,2011-08-12 13:15:00,4,1033.65,118,2,4,4,244,10,Fidèles
12401,2011-02-09 13:50:00,1,32.85,302,1,1,1,111,3,Endormis
12402,2011-01-20 13:49:00,1,195.6,322,1,1,1,111,3,Endormis
12403,2011-10-21 10:51:00,1,391.7,49,3,1,2,312,6,Occasionnels
12405,2011-07-14 08:52:00,1,1356.39,148,2,1,4,214,7,Endormis
12406,2011-11-17 19:22:00,2,3235.9,21,4,2,5,425,11,Nouveaux prometteurs
12407,2011-10-21 10:11:00,5,1375.77,49,3,4,4,344,11,Fidèles
12408,2011-11-07 12:27:00,5,2446.01,32,4,4,5,445,13,Champions
12409,2011-09-22 10:38:00,3,9754.87,78,2,3,5,235,10,À risque
12410,2011-02-04 10:38:00,1,337.83,308,1,1,2,112,4,Endormis
12412,2011-09-26 10:16:00,3,1142.88,74,2,3,4,234,9,À risque
12413,2011-10-04 09:00:00,3,609.4,66,3,3,3,333,9,Moyens
12414,2011-05-06 14:51:00,3,442.41,216,1,3,3,133,7,À risque
12415,2011-11-15 14:22:00,20,115158.98,23,4,5,5,455,14,Champions
12417,2011-12-06 14:52:00,9,2417.1,2,5,5,5,555,15,Champions
12418,2011-08-19 11:08:00,1,495.68,112,2,1,3,213,6,Endormis
12420,2011-10-07 08:55:00,1,474.14,63,3,1,3,313,7,Occasionnels
12421,2011-11-24 09:07:00,4,626.29,15,4,4,3,443,11,Fidèles
12422,2011-09-05 09:48:00,3,645.3100000000001,95,2,3,3,233,8,À risque
12423,2011-12-09 10:10:00,8,1568.01,0,5,5,4,554,14,Champions
12424,2011-06-30 12:06:00,2,1760.96,162,2,2,4,224,8,Endormis
12425,2011-09-22 17:31:00,1,734.7,77,2,1,3,213,6,Endormis
12426,2011-05-29 12:26:00,1,493.78000000000003,194,1,1,3,113,5,Endormis
12427,2011-11-18 08:56:00,3,563.8000000000001,21,4,3,3,433,10,Moyens
12428,2011-11-14 08:22:00,8,5720.41,25,4,5,5,455,14,Champions
12429,2011-11-30 17:22:00,4,3226.3,8,5,4,5,545,14,Champions
12430,2011-10-27 15:09:00,1,168.6,42,3,1,1,311,5,Occasionnels
12431,2011-11-04 11:55:00,15,5994.75,35,3,5,5,355,13,Fidèles
12432,2011-10-28 11:43:00,4,3746.62,42,3,4,5,345,12,Fidèles
12433,2011-12-09 10:02:00,7,13033.07,0,5,5,5,555,15,Champions
12434,2011-09-16 12:38:00,2,786.24,84,2,2,3,223,7,Endormis
12435,2011-09-21 09:06:00,2,6549.490000000001,79,2,2,5,225,9,Endormis
12436,2011-09-01 12:09:00,1,429.01,99,2,1,3,213,6,Endormis
12437,2011-12-08 11:35:00,18,3354.16,1,5,5,5,555,15,Champions
12438,2011-11-25 13:28:00,2,2153.5,13,5,2,5,525,12,Nouveaux prometteurs
12441,2010-12-08 10:45:00,1,155.55,366,1,1,1,111,3,Endormis
12442,2011-12-06 14:22:00,1,144.06,2,5,1,1,511,7,Nouveaux prometteurs
12444,2011-11-18 13:23:00,5,2478.96,20,4,4,5,445,13,Champions
12445,2011-11-17 18:43:00,1,77.4,21,4,1,1,411,6,Nouveaux prometteurs
12446,2011-10-13 12:50:00,1,783.86,57,3,1,3,313,7,Occasionnels
12447,2011-04-10 13:25:00,1,411.59000000000003,242,1,1,2,112,4,Endormis
12448,2011-10-26 13:46:00,1,300.45,43,3,1,2,312,6,Occasionnels
12449,2011-11-17 13:46:00,4,2781.54,21,4,4,5,445,13,Champions
12450,2011-07-06 14:41:00,2,197.88,155,2,2,1,221,5,Endormis
12451,2011-11-29 08:40:00,5,8314.37,10,5,4,5,545,14,Champions
12452,2011-11-23 08:05:00,1,333.57,16,4,1,2,412,7,Nouveaux prometteurs
12453,2011-07-28 14:08:00,1,707.09,133,2,1,3,213,6,Endormis
12454,2011-10-14 17:13:00,1,2760.44,55,3,1,5,315,9,Occasionnels
12455,2011-09-27 15:31:00,5,2271.86,72,2,4,5,245,11,Fidèles
12456,2011-10-26 14:41:00,3,2267.04,43,3,3,5,335,11,Moyens
12457,2011-10-04 13:13:00,6,1850.83,65,3,5,4,354,12,Fidèles
12458,2011-09-29 15:25:00,2,736.4,70,3,2,3,323,8,Occasionnels
12461,2011-07-08 10:23:00,1,609.88,154,2,1,3,213,6,Endormis
12462,2011-11-21 09:11:00,2,742.94,18,4,2,3,423,9,Nouveaux prometteurs
12463,2011-10-17 13:44:00,4,1155.38,52,3,4,4,344,11,Fidèles
12464,2011-07-13 11:58:00,4,76.5,149,2,4,1,241,7,Fidèles
12465,2011-11-22 16:34:00,2,662.29,16,4,2,3,423,9,Nouveaux prometteurs
12468,2011-06-05 11:36:00,2,599.39,187,1,2,3,123,6,Endormis
12471,2011-12-07 15:43:00,27,11999.4,1,5,5,5,555,15,Champions
12472,2011-11-07 14:01:00,7,5623.41,31,4,5,5,455,14,Champions
12473,2011-10-17 11:27:00,3,2510.43,53,3,3,5,335,11,Moyens
12474,2011-11-22 14:39:00,18,6381.9400000000005,16,4,5,5,455,14,Champions
12475,2011-10-17 10:10:00,1,669.38,53,3,1,3,313,7,Occasionnels
12476,2011-11-24 12:40:00,10,4441.37,15,4,5,5,455,14,Champions
12477,2011-11-17 09:51:00,6,11051.14,22,4,5,5,455,14,Champions
12478,2011-12-06 09:56:00,1,511.99,3,5,1,3,513,9,Nouveaux prometteurs
12479,2011-11-28 13:26:00,1,426.35,10,5,1,2,512,8,Nouveaux prometteurs
12480,2011-11-11 14:52:00,4,2759.48,27,4,4,5,445,13,Champions
12481,2011-11-17 08:29:00,10,4266.42,22,4,5,5,455,14,Champions
12483,2011-11-22 17:02:00,8,1910.98,16,4,5,5,455,14,Champions
12484,2011-11-04 15:18:00,4,3512.57,34,3,4,5,345,12,Fidèles
12488,2011-11-30 08:50:00,3,1075.16,9,5,3,4,534,12,Moyens
12489,2011-01-07 13:13:00,1,207.33,335,1,1,1,111,3,Endormis
12490,2011-12-04 16:07:00,10,4781.03,4,5,5,5,555,15,Champions
12491,2011-11-01 12:18:00,1,397.55,38,3,1,2,312,6,Occasionnels
12492,2011-10-07 15:15:00,2,227.21,62,3,2,2,322,7,Occasionnels
12493,2011-06-27 10:17:00,2,362.79,165,2,2,2,222,6,Endormis
12494,2011-11-24 09:34:00,7,951.75,15,4,5,4,454,13,Champions
12497,2011-09-19 12:29:00,1,953.1,81,2,1,4,214,7,Endormis
12498,2011-11-18 12:53:00,3,349.70000000000005,20,4,3,2,432,9,Moyens
12500,2011-11-16 16:20:00,11,3384.37,22,4,5,5,455,14,Champions
12501,2011-01-07 12:28:00,1,1911.8400000000001,336,1,1,5,115,7,Endormis
12502,2011-09-05 11:52:00,5,1936.1200000000001,95,2,4,5,245,11,Fidèles
12504,2011-11-09 14:56:00,1,60.0,29,4,1,1,411,6,Nouveaux prometteurs
12506,2011-04-21 08:54:00,1,73.5,232,1,1,1,111,3,Endormis
12507,2011-07-28 17:09:00,3,1027.31,133,2,3,4,234,9,À risque
12508,2011-11-13 15:37:00,2,398.27,25,4,2,2,422,8,Nouveaux prometteurs
12509,2011-02-28 14:45:00,1,124.5,283,1,1,1,111,3,Endormis
12510,2011-07-20 10:15:00,2,814.5699999999999,142,2,2,3,223,7,Endormis
12512,2011-10-04 14:55:00,2,138.03,65,3,2,1,321,6,Occasionnels
12513,2011-08-19 10:51:00,1,520.04,112,2,1,3,213,6,Endormis
12514,2011-03-17 16:38:00,1,827.38,266,1,1,3,113,5,Endormis
12515,2010-12-21 15:43:00,1,190.8,352,1,1,1,111,3,Endormis
12516,2011-09-23 09:13:00,2,1186.06,77,2,2,4,224,8,Endormis
12517,2011-11-11 13:57:00,4,2295.89,27,4,4,5,445,13,Champions
12518,2011-12-09 10:13:00,5,1750.0900000000001,0,5,4,4,544,13,Champions
12519,2011-10-07 09:26:00,1,252.84,63,3,1,2,312,6,Occasionnels
12520,2011-09-21 15:23:00,5,2094.56,78,2,4,5,245,11,Fidèles
12521,2011-07-20 10:51:00,1,530.73,142,2,1,3,213,6,Endormis
12522,2011-10-31 15:30:00,2,156.72,38,3,2,1,321,6,Occasionnels
12523,2011-11-20 12:55:00,11,1379.77,18,4,5,4,454,13,Champions
12524,2011-11-30 15:31:00,8,3676.57,8,5,5,5,555,15,Champions
12526,2011-12-09 12:09:00,3,1122.16,0,5,3,4,534,12,Moyens
12527,2011-09-19 11:55:00,3,296.71000000000004,81,2,3,2,232,7,Moyens
12528,2011-11-30 14:40:00,6,1219.43,8,5,5,4,554,14,Champions
12530,2011-10-11 12:34:00,4,1340.5800000000002,59,3,4,4,344,11,Fidèles
12531,2011-11-25 11:12:00,1,95.27,14,4,1,1,411,6,Nouveaux prometteurs
