customer_id,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,RFM_total,segment
CUST_00001,2024-07-08,3,731.09,176,1,1,1,111,3,Endormis
CUST_00002,2024-08-31,5,2372.2400000000002,122,2,1,1,211,4,Endormis
CUST_00003,2024-07-24,13,9116.67,160,1,4,5,145,10,Fidèles
CUST_00004,2024-11-06,11,8531.64,55,3,3,5,335,11,Moyens
CUST_00005,2024-10-11,10,4741.04,81,3,3,3,333,9,Moyens
CUST_00006,2024-09-13,9,3799.82,109,2,2,2,222,6,Endormis
CUST_00007,2024-07-29,14,8037.59,155,1,5,5,155,11,Fidèles
CUST_00008,2024-05-07,12,7950.84,238,1,4,5,145,10,Fidèles
CUST_00009,2024-10-26,13,6362.96,66,3,4,4,344,11,Fidèles
CUST_00010,2024-10-20,17,5663.0,72,3,5,4,354,12,Fidèles
CUST_00011,2024-09-10,8,3847.29,112,2,2,2,222,6,Endormis
CUST_00012,2024-11-12,12,7699.73,49,4,4,5,445,13,Champions
CUST_00013,2023-12-04,10,5443.88,393,1,3,3,133,7,À risque
CUST_00014,2024-12-30,9,1986.96,1,5,2,1,521,8,Nouveaux prometteurs
CUST_00015,2024-11-17,10,7167.71,44,4,3,5,435,12,Moyens
CUST_00016,2024-08-31,8,4409.74,122,2,2,3,223,7,Endormis
CUST_00017,2024-09-19,8,4096.29,103,2,2,2,222,6,Endormis
CUST_00018,2024-11-08,7,2147.14,53,3,1,1,311,5,Occasionnels
CUST_00019,2024-11-29,16,10212.67,32,4,5,5,455,14,Champions
CUST_00020,2024-10-04,7,5226.27,88,2,1,3,213,6,Endormis
CUST_00021,2024-11-09,6,1268.45,52,3,1,1,311,5,Occasionnels
CUST_00022,2024-09-15,11,2747.52,107,2,3,1,231,6,Moyens
CUST_00023,2024-11-02,15,5789.62,59,3,5,4,354,12,Fidèles
CUST_00024,2024-10-02,10,5947.62,90,2,3,4,234,9,À risque
CUST_00025,2024-10-23,10,5249.57,69,3,3,3,333,9,Moyens
CUST_00026,2024-10-16,17,8072.32,76,3,5,5,355,13,Fidèles
CUST_00027,2024-08-11,8,4394.71,142,1,2,3,123,6,Endormis
CUST_00028,2024-10-02,11,5145.9400000000005,90,2,3,3,233,8,À risque
